"age","wage"
16,1166.66666666667
17,2141.86851211073
18,2229.50819672131
19,2756.8359375
20,4755.64516129032
21,6171.46872803935
22,7893.28358208955
23,8636.63663663664
24,9897.64359351988
25,11264.5943896892
26,12878.8752703677
27,13591.2220309811
28,13917.3478655767
29,14057.3514077164
30,13459.1057797165
31,15977.369165488
32,14045.2961672474
33,13127.4509803922
34,10811.8811881188
35,6903.0612244898
36,5866.14173228346
37,7097.56097560976
38,4864.86486486487
39,4520
40,9076.92307692308
41,2000
42,1000
44,1000
45,8000
